Channel ID,Channel Title,Category,Country,Year,Sum of Subscribers,Sum of Total Videos,Sum of View Count,Channel Age,Subscribers per view,Subscribers per year,Viewers per year,Is_SubscriberOutlier,Is_TotalVideosOutlier,Is_ViewCountOutlier,Sum of Log_Subscribers,Sum of Log_TotalVideos,Sum of Log_ViewCount
UCQiwjUixKv11MB0GWdeE39w,Saloon Car Racing WA,Autos & Vehicles,Australia,2013,150,67,15181,12,0.009880772,12.5,1265.083333,No,No,No,2.1789769472931693,1.8325089127062364,4.181328987089734
UCQlhXNCJ95Lmq0-6gO-ZIEQ,Travel Aus Off Grid,Travel & Events,Australia,2014,547,27,55463,11,0.009862431,49.72727273,5042.090909,No,No,No,2.738780558484369,1.4471580313422192,4.744011187190715
UCQltP9CZKGug5kTf6cppVgg,Boxoffice | Nouveautés & Films Complets,Film & Animation,France,2018,1330000,694,218838804,7,0.006077533,190000,31262686.29,No,No,No,6.123851967504168,2.8419848045901137,8.340124334585953
UCqNH56x9g4QYVpzmWTzqVYg,Dynamo Gaming,Gaming,India,2010,10000000,2701,1335765604,15,0.007486343,666666.6667,89051040.27,Yes,No,Yes,7.000000043429446,3.4316853446860116,9.125730256503308
UCQP034vzXl_T_UXNo8uGQyA,Defence Direct Education,Education,India,2017,2260000,1745,831396801,8,0.002718317,282500,103924600.1,No,No,Yes,6.354108631313058,3.2420442393695508,8.919808349642864
UCQrvzGHFkNkVBlqqe46kuYQ,Entertainment - Mediacorp,Entertainment,Singapore,2013,526000,14246,337022083,12,0.001560729,43833.33333,28085173.58,No,Yes,No,5.720986569807863,4.153723424301681,8.527658359758872
UCQt2RdjoCYq3hvDmWX94VNQ,J SPORTS,Sports,Japan,2011,320000,1640,42758165,14,0.007483951,22857.14286,3054154.643,No,No,No,5.5051513354880415,3.215108581053093,7.631019069007241
UCqv9TYpXUAo-Qy_tOPPSUYg,Hypnotize Entertainment,Entertainment,Germany,2013,734000,116,600319906,12,0.001222681,61166.66667,50026658.83,No,No,No,5.865696651597523,2.0681858617461617,8.778382745083185
UCqXbXe2SnlhM5H_8MmZmYfg,howto: Stuti,Howto & Style,India,2016,6480,10,1252505,9,0.005173632,720,139167.2222,No,No,No,3.8116420214531512,1.0413926851582251,6.097779814986908
UCqZQlzSHbVJrwrn5XvzrzcA,NBC Sports,Sports,United States,2012,4900000,39066,4647269249,13,0.001054383,376923.0769,357482249.9,Yes,Yes,Yes,6.690196168660032,4.591810062530917,9.667197835035738
